country,year,pop,continent,lifeExp,gdpPercap,gniPercap
Afghanistan,1962,10267083.0,Asia,31.997,853.10071,
Afghanistan,1967,11537966.0,Asia,34.02,836.1971382,
Afghanistan,1972,13079460.0,Asia,36.088,739.9811058,
Afghanistan,1977,14880372.0,Asia,38.438,786.11336,
Afghanistan,1982,12881816.0,Asia,39.854,978.0114388,
Afghanistan,1987,13867957.0,Asia,40.822,852.3959448,
Afghanistan,1992,16317921.0,Asia,41.674,649.3413952,
Afghanistan,1997,22227415.0,Asia,41.763,635.341351,
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548,
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384,
Albania,1962,1728137.0,Europe,64.82,2312.888958,
Albania,1967,1984060.0,Europe,66.22,2760.196931,
Albania,1972,2263554.0,Europe,67.69,3313.422188,
Albania,1977,2509048.0,Europe,68.93,3533.00391,
Albania,1982,2780097.0,Europe,70.42,3630.880722,
Albania,1987,3075321.0,Europe,72.0,3738.932735,730
Albania,1992,3326498.0,Europe,71.581,2497.437901,320
Albania,1997,3428038.0,Europe,72.95,3193.054604,860
Albania,2002,3508512.0,Europe,75.651,4604.211737,1650
Albania,2007,3600523.0,Europe,76.423,5937.029526,4040
Algeria,1962,11000948.0,Africa,48.303,2550.81688,230
Algeria,1967,12760499.0,Africa,51.407,3246.991771,280
Algeria,1972,14760787.0,Africa,54.518,4182.663766,530
Algeria,1977,17152804.0,Africa,58.014,4910.416756,1320
Algeria,1982,20033753.0,Africa,61.368,5745.160213,2190
Algeria,1987,23254956.0,Africa,65.799,5681.358539,2750
Algeria,1992,26298373.0,Africa,67.744,5023.216647,1730
Algeria,1997,29072015.0,Africa,69.152,4797.295051,1540
Algeria,2002,31287142.0,Africa,70.994,5288.040382,1930
Algeria,2007,33333216.0,Africa,72.301,6223.367465,4210
Angola,1962,4826015.0,Africa,34.0,4269.276742,
Angola,1967,5247469.0,Africa,35.985,5522.776375,
Angola,1972,5894858.0,Africa,37.928,5473.288005,
Angola,1977,6162675.0,Africa,39.483,3008.647355,
Angola,1982,7016384.0,Africa,39.942,2756.953672,
Angola,1987,7874230.0,Africa,39.906,2430.208311,650
Angola,1992,8735988.0,Africa,40.647,2627.845685,290
Angola,1997,9875024.0,Africa,40.963,2277.140884,410
Angola,2002,10866106.0,Africa,41.003,2773.287312,710
Angola,2007,12420476.0,Africa,42.731,4797.231267,3030
Argentina,1962,21283783.0,Americas,65.142,7133.166023,
Argentina,1967,22934225.0,Americas,65.634,8052.953021,1210
Argentina,1972,24779799.0,Americas,67.065,9443.038526,1820
Argentina,1977,26983828.0,Americas,68.481,10079.02674,2190
Argentina,1982,29341374.0,Americas,69.942,8997.897412,2870
Argentina,1987,31620918.0,Americas,70.774,9139.671389,3960
Argentina,1992,33958947.0,Americas,71.868,9308.41871,7120
Argentina,1997,36203463.0,Americas,73.275,10967.28195,8030
Argentina,2002,38331121.0,Americas,74.34,8797.640716,3650
Argentina,2007,40301927.0,Americas,75.32,12779.37964,7670
Australia,1962,10794968.0,Oceania,70.93,12217.22686,1970
Australia,1967,11872264.0,Oceania,71.1,14526.12465,2730
Australia,1972,13177000.0,Oceania,71.93,16788.62948,4650
Australia,1977,14074100.0,Oceania,73.49,18334.19751,8470
Australia,1982,15184200.0,Oceania,74.74,19477.00928,11600
Australia,1987,16257249.0,Oceania,76.32,21888.88903,14100
Australia,1992,17481977.0,Oceania,77.56,23424.76683,18900
Australia,1997,18565243.0,Oceania,78.83,26997.93657,21800
Australia,2002,19546792.0,Oceania,80.37,30687.75473,21200
Australia,2007,20434176.0,Oceania,81.235,34435.36744,42400
Austria,1962,7129864.0,Europe,69.54,10750.72111,1140
Austria,1967,7376998.0,Europe,70.14,12834.6024,1680
Austria,1972,7544201.0,Europe,70.63,16661.6256,3580
Austria,1977,7568430.0,Europe,72.17,19749.4223,7540
Austria,1982,7574613.0,Europe,73.18,21597.08362,9600
Austria,1987,7578903.0,Europe,74.94,23687.82607,18100
Austria,1992,7914969.0,Europe,76.04,27042.01868,24900
Austria,1997,8069876.0,Europe,77.51,29095.92066,28000
Austria,2002,8148312.0,Europe,78.98,32417.60769,28100
Austria,2007,8199783.0,Europe,79.829,36126.4927,49200
Bahrain,1962,171863.0,Asia,56.923,12753.27514,
Bahrain,1967,202182.0,Asia,59.923,14804.6727,
Bahrain,1972,230800.0,Asia,63.3,18268.65839,
Bahrain,1977,297410.0,Asia,65.593,19340.10196,
Bahrain,1982,377967.0,Asia,69.052,19211.14731,9150
Bahrain,1987,454612.0,Asia,70.75,18524.02406,7800
Bahrain,1992,529491.0,Asia,72.601,19035.57917,10000
Bahrain,1997,598561.0,Asia,73.925,20292.01679,10100
Bahrain,2002,656397.0,Asia,74.795,23403.55927,12900
Bahrain,2007,708573.0,Asia,75.635,29796.04834,20900
Bangladesh,1962,56839289.0,Asia,41.216,686.3415538,
Bangladesh,1967,62821884.0,Asia,43.453,721.1860862,
Bangladesh,1972,70759295.0,Asia,45.252,630.2336265,120
Bangladesh,1977,80428306.0,Asia,46.923,659.8772322,170
Bangladesh,1982,93074406.0,Asia,50.009,676.9818656,230
Bangladesh,1987,103764241.0,Asia,52.819,751.9794035,290
Bangladesh,1992,113704579.0,Asia,56.018,837.8101643,320
Bangladesh,1997,123315288.0,Asia,59.412,972.7700352,420
Bangladesh,2002,135656790.0,Asia,62.013,1136.39043,460
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792,660
Belgium,1962,9218400.0,Europe,70.25,10991.20676,1530
Belgium,1967,9556500.0,Europe,70.94,13149.04119,2270
Belgium,1972,9709100.0,Europe,71.44,16672.14356,4690
Belgium,1977,9821800.0,Europe,72.8,19117.97448,9560
Belgium,1982,9856303.0,Europe,73.93,20979.84589,9430
Belgium,1987,9870200.0,Europe,75.35,22525.56308,17000
Belgium,1992,10045622.0,Europe,76.46,25575.57069,23400
Belgium,1997,10199787.0,Europe,77.53,27561.19663,26500
Belgium,2002,10311970.0,Europe,78.32,30485.88375,27100
Belgium,2007,10392226.0,Europe,79.441,33692.60508,46600
Benin,1962,2151895.0,Africa,42.618,949.4990641,100
Benin,1967,2427334.0,Africa,44.885,1035.831411,120
Benin,1972,2761407.0,Africa,47.014,1085.796879,160
Benin,1977,3168267.0,Africa,49.19,1029.161251,250
Benin,1982,3641603.0,Africa,50.904,1277.897616,290
Benin,1987,4243788.0,Africa,52.337,1225.85601,360
Benin,1992,4981671.0,Africa,53.919,1191.207681,380
Benin,1997,6066080.0,Africa,54.777,1232.975292,370
Benin,2002,7026113.0,Africa,54.406,1372.877931,600
Benin,2007,8078314.0,Africa,56.728,1441.284873,1030
Bolivia,1962,3593918.0,Americas,43.428,2180.972546,
Bolivia,1967,4040665.0,Americas,45.032,2586.886053,
Bolivia,1972,4565872.0,Americas,46.714,2980.331339,
Bolivia,1977,5079716.0,Americas,50.023,3548.097832,650
Bolivia,1982,5642224.0,Americas,53.859,3156.510452,840
Bolivia,1987,6156369.0,Americas,57.251,2753.69149,710
Bolivia,1992,6893451.0,Americas,59.957,2961.699694,790
Bolivia,1997,7693188.0,Americas,62.05,3326.143191,990
Bolivia,2002,8445134.0,Americas,63.883,3413.26269,910
Bolivia,2007,9119152.0,Americas,65.554,3822.137084,1480
Bosnia and Herzegovina,1962,3349000.0,Europe,61.93,1709.683679,
Bosnia and Herzegovina,1967,3585000.0,Europe,64.79,2172.352423,
Bosnia and Herzegovina,1972,3819000.0,Europe,67.45,2860.16975,
Bosnia and Herzegovina,1977,4086000.0,Europe,69.86,3528.481305,
Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157,
Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757,
Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445,
Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904,1330
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239,2030
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803,4730
Botswana,1962,512764.0,Africa,51.52,983.6539764,80
Botswana,1967,553541.0,Africa,53.298,1214.709294,120
Botswana,1972,619351.0,Africa,56.024,2263.611114,350
Botswana,1977,781472.0,Africa,59.319,3214.857818,690
Botswana,1982,970347.0,Africa,61.484,4551.14215,1170
Botswana,1987,1151184.0,Africa,63.622,6205.88385,1980
Botswana,1992,1342614.0,Africa,62.745,7954.111645,3330
Botswana,1997,1536536.0,Africa,52.556,8647.142313,3210
Botswana,2002,1630347.0,Africa,46.634,11003.60508,3370
Botswana,2007,1639131.0,Africa,50.728,12569.85177,5740
Brazil,1962,76039390.0,Americas,55.665,3336.585802,
Brazil,1967,88049823.0,Americas,57.632,3429.864357,380
Brazil,1972,100840058.0,Americas,59.504,4985.711467,730
Brazil,1977,114313951.0,Americas,61.489,6660.118654,1710
Brazil,1982,128962939.0,Americas,63.336,7030.835878,1780
Brazil,1987,142938076.0,Americas,65.205,7807.095818,2310
Brazil,1992,155975974.0,Americas,67.057,6950.283021,2310
Brazil,1997,168546719.0,Americas,69.388,7957.980824,4840
Brazil,2002,179914212.0,Americas,71.006,8131.212843,2990
Brazil,2007,190010647.0,Americas,72.39,9065.800825,7620
Bulgaria,1962,8012946.0,Europe,69.51,4254.337839,
Bulgaria,1967,8310226.0,Europe,70.42,5577.0028,
Bulgaria,1972,8576200.0,Europe,70.9,6597.494398,
Bulgaria,1977,8797022.0,Europe,70.81,7612.240438,
Bulgaria,1982,8892098.0,Europe,71.08,8224.191647,2090
Bulgaria,1987,8971958.0,Europe,71.34,8239.854824,3110
Bulgaria,1992,8658506.0,Europe,71.19,6302.623438,1250
Bulgaria,1997,8066057.0,Europe,70.32,5970.38876,1440
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725,2370
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282,6070
Burkina Faso,1962,4919632.0,Africa,37.814,722.5120206,80
Burkina Faso,1967,5127935.0,Africa,40.697,794.8265597,90
Burkina Faso,1972,5433886.0,Africa,43.591,854.7359763,110
Burkina Faso,1977,5889574.0,Africa,46.137,743.3870368,200
Burkina Faso,1982,6634596.0,Africa,48.122,807.1985855,240
Burkina Faso,1987,7586551.0,Africa,49.557,912.0631417,330
Burkina Faso,1992,8878303.0,Africa,50.26,931.7527731,360
Burkina Faso,1997,10352843.0,Africa,50.324,946.2949618,250
Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221,320
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994,570
Burundi,1962,2961915.0,Africa,42.045,355.2032273,80
Burundi,1967,3330989.0,Africa,43.548,412.9775136,50
Burundi,1972,3529983.0,Africa,44.057,464.0995039,80
Burundi,1977,3834415.0,Africa,45.91,556.1032651,150
Burundi,1982,4580410.0,Africa,47.471,559.603231,230
Burundi,1987,5126023.0,Africa,48.211,621.8188189,250
Burundi,1992,5809236.0,Africa,44.736,631.6998778,180
Burundi,1997,6121610.0,Africa,45.326,463.1151478,150
Burundi,2002,7021078.0,Africa,47.36,446.4035126,120
Burundi,2007,8390505.0,Africa,49.58,430.0706916,190
Cambodia,1962,6083619.0,Asia,43.415,496.9136476,
Cambodia,1967,6960067.0,Asia,45.415,523.4323142,
Cambodia,1972,7450606.0,Asia,40.317,421.6240257,
Cambodia,1977,6978607.0,Asia,31.22,524.9721832,
Cambodia,1982,7272485.0,Asia,50.957,624.4754784,
Cambodia,1987,8371791.0,Asia,53.914,683.8955732,
Cambodia,1992,10150094.0,Asia,55.803,682.3031755,
Cambodia,1997,11782962.0,Asia,56.534,734.28517,290
Cambodia,2002,12926707.0,Asia,56.752,896.2260153,350
Cambodia,2007,14131858.0,Asia,59.723,1713.778686,670
Cameroon,1962,5793633.0,Africa,42.643,1399.607441,
Cameroon,1967,6335506.0,Africa,44.799,1508.453148,130
Cameroon,1972,7021028.0,Africa,47.049,1684.146528,220
Cameroon,1977,7959865.0,Africa,49.355,1783.432873,520
Cameroon,1982,9250831.0,Africa,52.961,2367.983282,700
Cameroon,1987,10780667.0,Africa,54.985,2602.664206,1180
Cameroon,1992,12467171.0,Africa,54.314,1793.163278,950
Cameroon,1997,14195809.0,Africa,52.199,1694.337469,740
Cameroon,2002,15929988.0,Africa,49.856,1934.011449,790
Cameroon,2007,17696293.0,Africa,50.43,2042.09524,1310
Canada,1962,18985849.0,Americas,71.3,13462.48555,
Canada,1967,20819767.0,Americas,72.13,16076.58803,
Canada,1972,22284500.0,Americas,72.88,18970.57086,
Canada,1977,23796400.0,Americas,74.21,22090.88306,
Canada,1982,25201900.0,Americas,75.76,22898.79214,
Canada,1987,26549700.0,Americas,76.86,26626.51503,
Canada,1992,28523502.0,Americas,77.95,26342.88426,
Canada,1997,30305843.0,Americas,78.61,28954.92589,
Canada,2002,31902268.0,Americas,79.77,33328.96507,25900
Canada,2007,33390141.0,Americas,80.653,36319.23501,45600
Central African Republic,1962,1523478.0,Africa,39.475,1193.068753,80
Central African Republic,1967,1733638.0,Africa,41.478,1136.056615,100
Central African Republic,1972,1927260.0,Africa,43.457,1070.013275,140
Central African Republic,1977,2167533.0,Africa,46.775,1109.374338,280
Central African Republic,1982,2476971.0,Africa,48.295,956.7529907,270
Central African Republic,1987,2840009.0,Africa,50.485,844.8763504,490
Central African Republic,1992,3265124.0,Africa,49.396,747.9055252,450
Central African Republic,1997,3696513.0,Africa,46.066,740.5063317,280
Central African Republic,2002,4048013.0,Africa,43.308,738.6906068,260
Central African Republic,2007,4369038.0,Africa,44.741,706.016537,420
Chad,1962,3150417.0,Africa,41.716,1389.817618,110
Chad,1967,3495967.0,Africa,43.601,1196.810565,130
Chad,1972,3899068.0,Africa,45.569,1104.103987,160
Chad,1977,4388260.0,Africa,47.383,1133.98495,240
Chad,1982,4875118.0,Africa,49.517,797.9081006,190
Chad,1987,5498955.0,Africa,51.051,952.386129,270
Chad,1992,6429417.0,Africa,51.724,1058.0643,240
Chad,1997,7562011.0,Africa,51.573,1004.961353,220
Chad,2002,8835739.0,Africa,50.525,1156.18186,210
Chad,2007,10238807.0,Africa,50.651,1704.063724,700
Chile,1962,7961258.0,Americas,57.924,4519.094331,630
Chile,1967,8858908.0,Americas,60.523,5106.654313,780
Chile,1972,9717524.0,Americas,63.441,5494.024437,1360
Chile,1977,10599793.0,Americas,67.052,4756.763836,1360
Chile,1982,11487112.0,Americas,70.565,5095.665738,1820
Chile,1987,12463354.0,Americas,72.492,5547.063754,1930
Chile,1992,13572994.0,Americas,74.126,7596.125964,3440
Chile,1997,14599929.0,Americas,75.816,10118.05318,5490
Chile,2002,15497046.0,Americas,77.86,10778.78385,4510
Chile,2007,16284741.0,Americas,78.553,13171.63885,10100
China,1962,665770000.0,Asia,44.50136,487.6740183,80
China,1967,754550000.0,Asia,58.38112,612.7056934,90
China,1972,862030000.0,Asia,63.11888,676.9000921,160
China,1977,943455000.0,Asia,63.96736,741.2374699,200
China,1982,1000281000.0,Asia,65.525,962.4213805,220
China,1987,1084035000.0,Asia,67.274,1378.904018,330
China,1992,1164970000.0,Asia,68.69,1655.784158,420
China,1997,1230075000.0,Asia,70.426,2289.234136,800
China,2002,1280400000.0,Asia,72.028,3119.280896,1280
China,2007,1318683096.0,Asia,72.961,4959.114854,3100
Colombia,1962,17009885.0,Americas,57.863,2492.351109,280
Colombia,1967,19764027.0,Americas,59.963,2678.729839,300
Colombia,1972,22542890.0,Americas,61.623,3264.660041,460
Colombia,1977,25094412.0,Americas,63.837,3815.80787,850
Colombia,1982,27764644.0,Americas,66.653,4397.575659,1280
Colombia,1987,30964245.0,Americas,67.768,4903.2191,1300
Colombia,1992,34202721.0,Americas,68.421,5444.648617,1740
Colombia,1997,37657830.0,Americas,70.313,6117.361746,2570
Colombia,2002,41008227.0,Americas,71.682,5755.259962,2370
Colombia,2007,44227550.0,Americas,72.889,7006.580419,4710
Comoros,1962,191689.0,Africa,44.467,1406.648278,
Comoros,1967,217378.0,Africa,46.472,1876.029643,
Comoros,1972,250027.0,Africa,48.944,1937.577675,
Comoros,1977,304739.0,Africa,50.939,1172.603047,
Comoros,1982,348643.0,Africa,52.933,1267.100083,590
Comoros,1987,395114.0,Africa,54.926,1315.980812,960
Comoros,1992,454429.0,Africa,57.939,1246.90737,1080
Comoros,1997,527982.0,Africa,60.66,1173.618235,730
Comoros,2002,614382.0,Africa,62.974,1075.811558,790
Comoros,2007,710960.0,Africa,65.152,986.1478792,1290
Costa Rica,1962,1345187.0,Americas,62.842,3460.937025,350
Costa Rica,1967,1588717.0,Americas,65.424,4161.727834,440
Costa Rica,1972,1834796.0,Americas,67.849,5118.146939,760
Costa Rica,1977,2108457.0,Americas,70.75,5926.876967,1480
Costa Rica,1982,2424367.0,Americas,73.45,5262.734751,940
Costa Rica,1987,2799811.0,Americas,74.752,5629.915318,1650
Costa Rica,1992,3173216.0,Americas,75.713,6160.416317,2740
Costa Rica,1997,3518107.0,Americas,77.26,6677.045314,3400
Costa Rica,2002,3834934.0,Americas,78.123,7723.447195,4030
Costa Rica,2007,4133884.0,Americas,78.782,9645.06142,6410
Cote d'Ivoire,1962,3832408.0,Africa,44.93,1728.869428,180
Cote d'Ivoire,1967,4744870.0,Africa,47.35,2052.050473,270
Cote d'Ivoire,1972,6071696.0,Africa,49.801,2378.201111,380
Cote d'Ivoire,1977,7459574.0,Africa,52.374,2517.736547,950
Cote d'Ivoire,1982,9025951.0,Africa,53.983,2602.710169,720
Cote d'Ivoire,1987,10761098.0,Africa,54.655,2156.956069,910
Cote d'Ivoire,1992,12772596.0,Africa,52.044,1648.073791,750
Cote d'Ivoire,1997,14625967.0,Africa,47.991,1786.265407,760
Cote d'Ivoire,2002,16252726.0,Africa,46.832,1648.800823,630
Cote d'Ivoire,2007,18013409.0,Africa,48.328,1544.750112,1090
Croatia,1962,4076557.0,Europe,67.13,5477.890018,
Croatia,1967,4174366.0,Europe,68.5,6960.297861,
Croatia,1972,4225310.0,Europe,69.61,9164.090127,
Croatia,1977,4318673.0,Europe,70.64,11305.38517,
Croatia,1982,4413368.0,Europe,70.46,13221.82184,
Croatia,1987,4484310.0,Europe,71.52,13822.58394,
Croatia,1992,4494013.0,Europe,72.527,8447.794873,
Croatia,1997,4444595.0,Europe,73.68,9875.604515,5470
Croatia,2002,4481020.0,Europe,74.876,11628.38895,6730
Croatia,2007,4493312.0,Europe,75.748,14619.22272,14400
Cuba,1962,7254373.0,Americas,65.246,5180.75591,
Cuba,1967,8139332.0,Americas,68.29,5690.268015,
Cuba,1972,8831348.0,Americas,70.723,5305.445256,1040
Cuba,1977,9537988.0,Americas,72.649,6380.494966,1790
Cuba,1982,9789224.0,Americas,73.717,7316.918107,2180
Cuba,1987,10239839.0,Americas,74.174,7532.924763,2780
Cuba,1992,10723260.0,Americas,74.414,5592.843963,1870
Cuba,1997,10983007.0,Americas,76.151,5431.990415,2240
Cuba,2002,11226999.0,Americas,77.158,6340.646683,3100
Cuba,2007,11416987.0,Americas,78.273,8948.102923,5460
Czech Republic,1962,9620282.0,Europe,69.9,10136.86713,
Czech Republic,1967,9835109.0,Europe,70.38,11399.44489,
Czech Republic,1972,9862158.0,Europe,70.29,13108.4536,
Czech Republic,1977,10161915.0,Europe,70.71,14800.16062,
Czech Republic,1982,10303704.0,Europe,70.96,15377.22855,
Czech Republic,1987,10311597.0,Europe,71.58,16310.4434,
Czech Republic,1992,10315702.0,Europe,72.4,14297.02122,3500
Czech Republic,1997,10300707.0,Europe,74.01,16048.51424,6110
Czech Republic,2002,10256295.0,Europe,75.51,17596.21022,8110
Czech Republic,2007,10228744.0,Europe,76.486,22833.30851,18500
Denmark,1962,4646899.0,Europe,72.35,13583.31351,
Denmark,1967,4838800.0,Europe,72.96,15937.21123,2870
Denmark,1972,4991596.0,Europe,73.47,18866.20721,5580
Denmark,1977,5088419.0,Europe,74.69,20422.9015,11200
